Brown Pelican,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Bittern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Blue Heron,74,39,38,56,25,26,34,39,65,78,30,76,31,11,9,47,20,18,14,3,4,7,6,12,22,21,43,70,61,39,42,94,64,37,44,83,59,51,47,41,30,25,14,32,33,40,21,43
Great Egret,0,0,0,0,0,0,0,0,0,0,0,66,77,120,169,282,280,307,236,175,63,62,30,51,40,42,55,67,51,26,28,57,36,9,2,2,4,4,2,0,0,0,0,0,0,0,0,0
Snowy Egret,0,0,0,0,0,0,0,0,0,0,0,1,4,11,18,33,37,56,31,30,9,5,6,6,3,6,7,15,5,4,9,3,2,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0
Little Blue Heron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
white egret sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Heron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,71,78,46,2,2,0,0,0,1,0,0,8,15,22,16,48,14,8,5,13,5,11,1,0,0,0,0,0,0,0,0,0
Black-crowned Night-Heron,1,9,4,0,2,1,0,1,1,11,0,5,21,19,49,101,67,91,107,87,45,47,28,44,38,28,33,55,46,23,44,83,47,71,42,68,33,27,37,9,3,1,1,0,1,0,1,10
Yellow-crowned Night-Heron,30,14,5,12,2,2,2,2,16,11,4,12,0,0,1,0,0,1,2,3,8,3,0,1,1,5,4,12,7,6,16,11,7,10,7,28,21,11,19,9,1,0,3,7,8,4,5,10
heron sp.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glossy Ibis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Vulture,0,0,0,3,1,1,0,1,5,3,1,0,11,8,1,4,15,1,1,2,0,0,1,0,0,0,0,1,0,1,0,0,5,0,0,0,0,1,1,1,5,2,3,1,5,1,2,1
Turkey Vulture,7,2,1,5,6,7,3,2,4,29,12,27,29,15,35,46,47,40,24,18,5,4,4,2,1,0,0,3,2,1,3,2,4,1,3,7,11,7,56,19,19,19,18,32,10,7,1,2
new world vulture sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Osprey,0,0,0,0,0,0,0,0,0,0,0,15,1,12,10,20,20,20,16,14,5,6,4,4,8,4,9,13,12,14,20,69,56,72,42,52,47,23,28,7,4,4,0,0,0,0,0,0
Golden Eagle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Northern Harrier,1,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,13,6,0,6,5,0,1,2,2,1,0,0,0
Sharp-shinned Hawk,2,5,4,4,1,1,0,3,3,3,5,0,1,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,24,8,24,23,11,12,5,1,1,6,2,4,0
Cooper's Hawk,119,63,65,84,60,63,45,36,39,68,40,43,61,25,6,5,6,11,3,1,0,0,0,0,1,0,3,1,3,3,4,10,8,27,45,42,26,55,91,40,51,36,37,51,47,39,52,50
Accipiter sp.,2,0,0,0,1,0,0,0,0,0,0,1,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,7,3,3,5,1,0,1,0,0,0,0
Bald Eagle,20,7,20,21,2,3,5,3,12,12,4,19,4,1,23,24,16,12,9,2,0,0,0,1,1,1,0,1,1,1,1,20,15,11,20,34,3,13,28,29,23,18,10,36,12,10,9,7
Red-shouldered Hawk,9,5,5,3,5,4,3,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,17,12,14,18,5,12,3,0,7,2
Broad-winged Hawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,21,4,29,17,3,0,0,0,0,0,0,0,0,0,0
Red-tailed Hawk,232,163,202,280,156,181,143,128,172,242,151,263,258,244,302,515,412,376,234,177,38,40,20,39,16,17,21,38,33,22,43,50,87,117,139,208,133,159,158,169,132,112,87,126,86,77,101,115
Buteo sp.,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,5,3,3,0,1,2,2,0,2,0
hawk sp.,5,4,4,7,1,4,2,5,3,5,0,4,3,3,4,4,7,6,2,1,0,0,0,0,0,0,1,0,1,0,0,2,2,4,7,11,1,3,2,4,2,6,1,3,0,0,2,2
Eastern Screech-Owl,1,8,10,34,19,8,6,6,23,51,17,20,19,42,37,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,5,2,2,3,0,0,1
Great Horned Owl,0,5,0,7,7,2,3,2,11,0,0,15,1,1,0,105,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,1,1,2,0,1,1,1,3
